-27 09:46:39 | ST0=[1110.72kg, 1110.84kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:47:38 | ST0=[1110.82kg, 1110.93kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:47:39 | ST0=[1110.83kg, 1110.93kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:40 | ST0=[1110.83kg, 1110.93kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:41 | ST0=[1110.83kg, 1110.94kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:42 | ST0=[1110.83kg, 1110.94kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:47:43 | ST0=[1110.83kg, 1110.94kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:44 | ST0=[1110.83kg, 1110.95kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:45 | ST0=[1110.84kg, 1110.95kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:46 | ST0=[1110.83kg, 1110.94kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:47 | ST0=[1110.84kg, 1110.94kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:47:48 | ST0=[1110.83kg, 1110.94kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:49 | ST0=[1110.84kg, 1110.94kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:50 | ST0=[1110.84kg, 1110.94kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:51 | ST0=[1110.84kg, 1110.95kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:47:52 | ST0=[1110.84kg, 1110.95kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:53 | ST0=[1110.85kg, 1110.96kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:54 | ST0=[1110.85kg, 1110.96kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:55 | ST0=[1110.85kg, 1110.96kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:56 | ST0=[1110.85kg, 1110.96kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:47:57 | ST0=[1110.85kg, 1110.99kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:58 | ST0=[1110.85kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:47:59 | ST0=[1110.85kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:00 | ST0=[1110.85kg, 1110.97kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:01 | ST0=[1110.85kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:02 | ST0=[1110.86kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:03 | ST0=[1110.86kg, 1110.97kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:04 | ST0=[1110.85kg, 1110.97kg] (199) WE: 4080[RS232-PRINTER]
25-08-27 09:48:05 | ST0=[1110.85kg, 1110.96kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:06 | ST0=[1110.86kg, 1110.96kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:07 | ST0=[1110.86kg, 1110.96kg] (200) WE: 4080[RS232-PRINTER]
25-08-27 09:48:08 | ST0=[1110.86kg, 1110.96kg] (200) WE: 4080[RS232-PRINTER]
